,Hardware models,,,,
,HW PN,HW MT,HW Model,Model Description,Base Unit,Mutliple Images,Number of Images
,,2107.0,921.0,IBM System Storage DS8100,TRUE,TRUE,1.0
,,2107.0,922.0,IBM System Storage DS8300,TRUE,TRUE,1.0
,,2107.0,931.0,IBM System Storage DS8100,TRUE,TRUE,1.0
,,2421.0,931.0,IBM System Storage DS8100,TRUE,TRUE,1.0
,,2422.0,931.0,IBM System Storage DS8100,TRUE,TRUE,1.0
,,2423.0,931.0,IBM System Storage DS8100,TRUE,TRUE,1.0
,,2424.0,931.0,IBM System Storage DS8100,TRUE,TRUE,1.0
,,2107.0,932.0,IBM System Storage DS8300,TRUE,TRUE,1.0
,,2421.0,932.0,IBM System Storage DS8300,TRUE,TRUE,1.0
,,2422.0,932.0,IBM System Storage DS8300,TRUE,TRUE,1.0
,,2423.0,932.0,IBM System Storage DS8300,TRUE,TRUE,1.0
,,2424.0,932.0,IBM System Storage DS8300,TRUE,TRUE,1.0
,,2421.0,941.0,IBM System Storage DS8700,TRUE,TRUE,1.0
,,2422.0,941.0,IBM System Storage DS8700,TRUE,TRUE,1.0
,,2423.0,941.0,IBM System Storage DS8700,TRUE,TRUE,1.0
,,2424.0,941.0,IBM System Storage DS8700,TRUE,TRUE,1.0
,,2421.0,951.0,IBM System Storage DS8800,TRUE,TRUE,1.0
,,2422.0,951.0,IBM System Storage DS8800,TRUE,TRUE,1.0
,,2423.0,951.0,IBM System Storage DS8800,TRUE,TRUE,1.0
,,2424.0,951.0,IBM System Storage DS8800,TRUE,TRUE,1.0
,,2421.0,961.0,IBM System Storage DS8870,TRUE,TRUE,1.0
,,2422.0,961.0,IBM System Storage DS8870,TRUE,TRUE,1.0
,,2423.0,961.0,IBM System Storage DS8870,TRUE,TRUE,1.0
,,2424.0,961.0,IBM System Storage DS8870,TRUE,TRUE,1.0
,,2107.0,92E,IBM System Storage DS8000,FALSE,,
,,2421.0,92E,IBM System Storage DS8000,FALSE,,
,,2422.0,92E,IBM System Storage DS8000,FALSE,,
,,2423.0,92E,IBM System Storage DS8000,FALSE,,
,,2424.0,92E,IBM System Storage DS8000,FALSE,,
,,2421.0,94E,IBM System Storage DS8000,FALSE,,
,,2422.0,94E,IBM System Storage DS8000,FALSE,,
,,2423.0,94E,IBM System Storage DS8000,FALSE,,
,,2424.0,94E,IBM System Storage DS8000,FALSE,,
,,2421.0,95E,IBM System Storage DS8800,FALSE,,
,,2422.0,95E,IBM System Storage DS8800,FALSE,,
,,2423.0,95E,IBM System Storage DS8800,FALSE,,
,,2424.0,95E,IBM System Storage DS8800,FALSE,,
,,2421.0,96E,IBM System Storage DS8870,FALSE,,
,,2422.0,96E,IBM System Storage DS8870,FALSE,,
,,2423.0,96E,IBM System Storage DS8870,FALSE,,
,,2424.0,96E,IBM System Storage DS8870,FALSE,,
,,2107.0,9A2,IBM System Storage DS8300,TRUE,TRUE,2.0
,,2107.0,9AE,IBM System Storage DS8000,FALSE,,
,,2421.0,9AE,IBM System Storage DS8000,FALSE,,
,,2422.0,9AE,IBM System Storage DS8000,FALSE,,
,,2423.0,9AE,IBM System Storage DS8000,FALSE,,
,,2424.0,9AE,IBM System Storage DS8000,FALSE,,
,,2107.0,9B2,IBM System Storage DS8300,TRUE,TRUE,2.0
,,2421.0,9B2,IBM System Storage DS8300,TRUE,TRUE,2.0
,,2422.0,9B2,IBM System Storage DS8300,TRUE,TRUE,2.0
,,2423.0,9B2,IBM System Storage DS8300,TRUE,TRUE,2.0
,,2424.0,9B2,IBM System Storage DS8300,TRUE,TRUE,2.0
